,word,weight
0,hai,3
1,merekam,2
2,ekstensif,3
3,paripurna,1
4,detail,2
5,pernik,3
6,belas,2
7,welas,4
8,kabung,1
9,rahayu,4
10,maaf,2
11,hello,2
12,promo,3
13,terimakasih,5
14,cover,3
15,mohon,2
16,mengawal,2
17,statistik,1
18,keluangan,3
19,jalan terbuka,3
20,banyaknya,3
21,lebar,3
22,bentang,1
23,hendaknya,1
24,silahkan,3
25,semboyan,2
26,ditunggu,2
27,akses,2
28,penerangan,2
29,hi,1
30,dibantu,2
31,makasih,4
32,halo,1
33,thanks,3
34,pengembangan,3
35,diva,2
36,punya,3
37,tidak segan,2
38,detailnya,1
39,tak segan,2
40,aktivasi,2
41,asih,3
42,kasih sayang,5
43,kekaguman,4
44,kehangatan,4
45,afeksi,2
46,renjana,2
47,amor,2
48,cinta kasih,5
49,tresna,2
50,filantropi,2
51,cintrong,2
52,suasana (hati),1
53,dinamika,3
54,tuhan,3
55,merespon,3
56,makmur,4
57,suka cita,4
58,pengguna,1
59,tunggu,1
60,lotre,2
61,nggak,1
62,kupon,3
63,terpelihara,4
64,terawat,5
65,tersadar,3
66,tari,1
67,gejolak,1
68,kejutan,3
69,pesta,4
70,getar,1
71,allah,5
72,berlabuh,3
73,terdaftar,1
74,negosiasi,2
75,revolusioner,3
76,follback,1
77,pelaminan,4
78,yasalamualaika,3
79,uang lelah,2
80,parsel,2
81,amplop,3
82,kenang-kenangan,3
83,pengasih,4
84,uang rokok,2
85,persenan,2
86,baksis,2
87,tanda mata,2
88,angpau,4
89,hibah,4
90,upa,2
91,bingkisan,4
92,suvenir,4
93,kesudian,2
94,berakar,2
95,para-para,2
96,termakan,1
97,kemasyhuran,4
98,reputasi,2
99,gelar,2
100,serep,2
101,invite,1
102,nyanyian,2
103,dendang,2
104,gita,2
105,gending,1
106,lagu,2
107,rintisan,2
108,bergelora,2
109,antusias,2
110,ringan tangan,4
111,membara,2
112,menyala,2
113,berlangganan,2
114,berdenyut,2
115,bersungguh-sungguh,4
116,rintis,2
117,jalan bebas hambatan,2
118,tarekat,2
119,bajing,1
120,bopong,1
121,berlezat,2
122,getaran,1
123,berperan serta,2
124,debar,2
125,raba,1
126,degub,1
127,ikut serta,3
128,berpartisipasi,3
129,menguntiti,1
130,penghayatan,3
131,mitra,2
132,diterima,2
133,sohib,3
134,beriktikad,2
135,berkeyakinan,3
136,beriman,3
137,percaya,2
138,menghajatkan,1
139,senyum,2
140,haloo,3
141,menarik hati,3
142,cedayam,2
143,hasan,3
144,tumandang,1
145,pengen,3
146,bener,3
147,hellooo,2
148,marilah,1
149,terbaik,5
150,ulung,4
151,good,5
152,silakan,1
153,main,2
154,alhamdulillah,5
155,unek-unek,2
156,sesalan,1
157,menyaksikan,1
158,pemenangnya,4
159,hiii,1
160,menyuarakan,3
161,menginterprestasikan,1
162,menaksir,3
163,menuturkan,3
164,memperkirakan,2
165,mengimla,1
166,mengantisipasi,3
167,menafsirkan,2
168,mengartikan,1
169,mengasosiasikan,3
170,borong,2
171,payu,2
172,membeli,2
173,membuat,1
174,tertawa kecil,4
175,minta,2
176,mengorak senyum,2
177,mesem,2
178,tersenyum,4
179,ok,4
180,ayo,4
181,mari,4
182,yuk,4
183,lincah,4
184,buru-buru,1
185,kencang,3
186,buntut,1
187,kilat,3
188,kunjung,3
189,mendahului,2
190,segera,3
191,lekas,2
192,akas,2
193,terampil,4
194,jeraus,2
195,pagi,1
196,pesat,3
197,sebat,1
198,kawal,1
199,berkawal,4
200,gugah,2
201,pustaka,4
202,sir-siran,2
203,pelihara,3
204,patroli,2
205,kitab,2
206,ronda,2
207,sambang,2
208,berguru,3
209,menuntut ilmu,4
210,melatih diri,4
211,menimba ilmu,4
212,mengaji,4
213,meneladan,4
214,mencari ilmu,4
215,luck,4
216,bersekolah,3
217,menggali ilmu,4
218,desak,1
219,menelaah,2
220,memahirkan,4
221,harmonisasiuniv,2
222,takut,1
223,sreg,2
224,penyatuan,3
225,wangi,4
226,pulas,4
227,merdu,5
228,harum,5
229,legit,4
230,inkorporasi,3
231,serundai,2
232,helloo,1
233,page,2
234,menyerempakkan,3
235,menyinkronkan,1
236,tolong,3
237,kediaman,2
238,panti,2
239,rumah,3
240,simplistis,3
241,menjejali,1
242,perfek,4
243,tayib,2
244,memejahijaukan,1
245,tayibah,2
246,jamil,2
247,mungil,3
248,rancak,5
249,mengisi,2
250,necis,4
251,menyidangkan,1
252,bagusan,2
253,estetis,4
254,firasat,1
255,cawis,2
256,berdandan,4
257,andini,2
258,indikasi,2
259,tersedia,4
260,tersaji,4
261,sholat,5
262,pastikan,3
263,tersuguh,2
264,perpanjangan,2
265,fiesta,3
266,terdamping,1
267,jomblo,1
268,medali,4
269,terdekat,1
270,artistik,4
271,wah,3
272,imut-imut,4
273,langkah baik,4
274,langkah kanan,3
275,guys,1
276,profit,4
277,waris,3
278,dominan,3
279,kooperasi,1
280,keras tulang,2
281,gedembal,2
282,tangguh,5
283,wedel,2
284,tapa,2
285,kedot,2
286,keikutsertaan,3
287,kesertaan,2
288,dibalas,2
289,kerja sama,4
290,tatap,1
291,berpengaruh,3
292,besar lengan,3
293,partisipasi,3
294,bedegap,3
295,peran serta,3
296,masif,2
297,gratis,4
298,membantu,4
299,busana,2
300,hasad,2
301,keki,1
302,free,3
303,wkwkwk,3
304,sangsi,1
305,berprasangka,1
306,bermaslahat,2
307,mujur,4
308,warisan,3
309,bersetuju,3
310,kenan,2
311,(hujan) gerimis,1
312,support,4
313,sahabat,4
314,gerimis,1
315,hujan,1
316,handai,3
317,kece,5
318,thank,4
319,hujan ringan,2
320,sobat,4
321,panjang tungkai,2
322,trims,4
323,doa,4
324,pacaran,3
325,berpacaran,3
326,teranyar,4
327,hallo,4
328,happy,5
329,ketemu,1
330,senjang,1
331,mudah-mudahan,1
332,modern,3
333,peranakan,2
334,pemudaan,2
335,masygul,3
336,gelebah,2
337,mending,2
338,regenerasi,4
339,simpel,3
340,sirap hati,1
341,puspa,4
342,mengenyam,1
343,merah telinga,1
344,bonafide,3
345,terbakar,1
346,bergairah,3
347,puspita,3
348,pelengkap,2
349,perempuan cantik,5
350,sewot,1
351,gusar,1
352,hiasan,3
353,kesuma,3
354,primadona,5
355,tulus ikhlas,5
356,senyuman,4
357,lugas,4
358,gemas,4
359,kusuma,4
360,yaudah,1
361,menyayang,4
362,menggemari,3
363,pasangan hidup,4
364,asah asih asuh,2
365,belom,1
366,hay,1
367,kepedulian,4
368,sepuh,1
369,kejelasan,1
370,seruh,2
371,terlukis,3
372,prosa,2
373,ketertarikan,4
374,cerita anak,2
375,bau tanah,1
376,atensi,2
377,tergambar,2
378,anekdot,2
379,mengamuk,1
380,shalat,4
381,lanjut,2
382,seneng,5
383,omong kosong,1
384,bombastis,2
385,fiksi,2
386,dzuhur,1
387,tips,4
388,kelonggaran,3
389,tq,4
390,respon,2
391,sirna,1
392,kelawasan,1
393,singgung,1
394,only,1
395,layanan,3
396,keluasan,3
397,langganan,4
398,resap,3
399,menyingsing,3
400,lelap,4
401,tembus,3
402,keringanan,2
403,beterbangan,2
404,lipur,2
405,sajak,2
406,mempertentangkan,1
407,peria,2
408,respons,3
409,jawaban,3
410,reaksi,2
411,kangen,3
412,tlg,3
413,sahutan,1
414,cepet,2
415,doang,1
416,lantik,3
417,akibat,1
418,sambutan,3
419,bersalin,3
420,wahyu,4
421,maha,4
422,terlindung,4
423,menetap,3
424,bersikukuh,1
425,rusuhan,1
426,meyakinkan,3
427,berkukuh,2
428,silang selisih,1
429,bersiteguh,1
430,syg,3
431,hii,3
432,pencegah,2
433,dependen,3
434,berteguh hati,4
435,berkuat,3
436,amin,3
437,tersampai,2
438,bersyukur,5
439,bergeming,1
440,jernih (suasana),1
441,nunggu,1
442,abis,1
443,bertekun,4
444,selamat,5
445,asmara,2
446,bertahan,4
447,suka-suka,3
448,gapaian,3
449,penguasaan,3
450,iritasi,1
451,mukhlis,3
452,senyap,1
453,terpukul,1
454,elite,5
455,asketisme,2
456,cita rasa,3
457,mampir,2
458,pasif,1
459,interferensi,2
460,membatu,2
461,lurus hati,3
462,geming,2
463,stagnan,1
464,membisu,1
465,cengkeraman,1
466,bungkam,1
467,raihan,2
468,asik,4
469,ready,1
470,sepantar,1
471,usikan,1
472,pantau,2
473,tunduk,1
474,karena Allah,2
475,fans,2
476,provokasi,1
477,terbaring,2
478,zuhud,2
479,sporadis,2
480,tertulang,2
481,capaian,4
482,rengkuhan,1
483,sukarela,4
484,sarannya,1
485,pesan,2
486,mencintaimu,4
487,menutup mulut,1
488,tidur,3
489,beribadat,4
490,meminta (kpd Tuhan),3
491,yoga,1
492,sayid,3
493,dapet,2
494,mendoa,4
495,berharap,4
496,harap,3
497,berdoa,4
498,bersembahyang,5
499,berselawat,3
500,yes,3
501,berpasrah,3
502,buruan,1
503,semi,2
504,memanjatkan doa,4
505,top,5
506,mood,2
507,berzikir,4
508,kenal,3
509,kebahagiaan,4
510,dengerin,3
511,bertanding,2
512,berusaha,3
513,jempolan,4
514,yahud,4
515,berjihad,3
516,juang,3
517,bersangkut,1
518,mencolok,2
519,pasar uang,2
520,memikat,2
521,taut,2
522,bayar,1
523,menarik,4
524,hebring,3
525,seru,5
526,pukul,1
527,simak,3
528,memuaskan,5
529,aduhai,4
530,bergelanggang,2
531,hatiku,2
532,love,5
533,yuuk,4
534,pelipuran,2
535,profitabel,4
536,tebal telinga,1
537,senyumin,3
538,cuek,1
539,berlaba,4
540,peduli,4
541,insyaallah,2
542,berkhasiat,4
543,diem,2
544,menguntungkan,4
545,mulu,2
546,motivasi,3
547,berkat,1
548,apatis,1
549,berhikmah,2
550,berfaedah,4
551,purnama,2
552,mengagumkan,4
553,siph,2
554,inklusif,1
555,beneran,3
556,wewenang,2
557,mojang,2
558,lunch,3
559,aziz,2
560,fav,5
561,okay,4
562,melancarkan,3
563,nemenin,2
564,cicip,3
565,bunda,3
566,laun,1
567,waras,2
568,pinter,5
569,melorot,1
570,bilas,1
571,terjeblos,1
572,terjun,1
573,menggelincir,1
574,lunas (kapal,2
575,rebah,2
576,reparasi,3
577,gontai,1
578,sederhana,3
579,tumpuan,2
580,himpit,1
581,turunan,1
582,mudah,4
583,tumbang,1
584,live,3
585,memandu,3
586,gamblang,3
587,terjungkal,1
588,ngasih,3
589,penyempurnaan,3
590,asasi,3
591,gurufavorit,3
592,friends,3
593,tercemplung,1
594,rektifikasi,1
595,meringankan,2
596,mamak,2
597,lambat,1
598,memudahkan,3
599,terbanting,1
600,pencitraan,2
601,berikhtiar,3
602,belanja,2
603,andai,2
604,lingsir,2
605,murah,3
606,assalamualaikum,3
607,ibunda,3
608,luruh,2
609,fondasi,2
610,arabika,2
611,membayangkan,2
612,rekonsiliasi,4
613,copot,1
614,simbok,2
615,saldo,2
616,berjatuhan,1
617,tergelincir,1
618,memuluskan,3
619,rontok,1
620,islam,4
621,mama,4
622,filial,2
623,ujian,1
624,puterin,1
625,mengantongi,1
626,gugur,1
627,berbuah,2
628,bersila,2
629,inovasi,4
630,berumah tangga,2
631,berbakat,4
632,ngerti,1
633,menumpang tinggal,1
634,menggelesot,1
635,kuliah,1
636,berbunga,3
637,filsafat,3
638,berketurunan,2
639,tinggal,1
640,wafat,1
641,bertunangan,3
642,kepo,2
643,menongkrong,1
644,dimulai,1
645,tabungan,3
646,kuat (dugaan),2
647,deposito,3
648,hy,1
649,mewarisi,3
650,komedi,3
651,fokus,3
652,bebodoran,2
653,lahir,3
654,deket,1
655,dewasa,2
656,menikah,4
657,tekad,4
658,bermukim,2
659,berpembawaan,1
660,pertukaran,1
661,dagelan,3
662,kasad,1
663,kelucuan,3
664,keduniaan,1
665,tawakal,3
666,cash,2
667,mengesahkan,2
668,pamrih,1
669,join,1
670,pancaroba,1
671,kunjungi,3
672,berdaya guna,4
673,modifikasi,2
674,mengirat,2
675,searah,1
676,khusyuk,3
677,adi,2
678,sob,2
679,beroperasi,1
680,didik,3
681,vote,1
682,iflix,1
683,gratifikasi,2
684,pamit,2
685,ekstra,3
686,bermohon,3
687,berdua,1
688,angguk,1
